claimHeadline,articleHeadline,articleHeadlineStance,url,source,claimCount,articleCount,sourceCount,sourceReputation,sourceBias
More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life,There’s a reason America's vets can't find work but not what Ben Bernanke thinks,for,https://foreignpolicy.com/2015/10/05/theres-a-reason-americas-vets-cant-find-work-but-not-what-ben-bernanke-thinks/,https://foreignpolicy.com/,1,1,1,0.323125,2
More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life,"AT CLEVELAND MANUFACTURER LOOKING TO HIRE VETERANS FOR AS MANY AS 45 OPEN POSITIONS, BROWN OUTLINES NEW JOBS LAW THAT PROVIDES INCENTIVES FOR BUSINESSES TO HIRE VETERANS",neutral,https://www.brown.senate.gov/newsroom/press/release/at-cleveland-manufacturer-looking-to-hire-veterans-for-as-many-as-45-open-positions-brown-outlines-new-jobs-law-that-provides-incentives-for-businesses-to-hire-veterans,https://www.brown.senate.gov/,1,2,2,-0.25,0
More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life,"Despite Low Unemployment, Veterans Struggle To Find Meaningful Jobs",neutral,https://www.npr.org/2016/03/31/472577719/despite-low-unemployment-veterans-struggle-to-find-meaningful-jobs,https://www.npr.org/,1,3,3,0.558125,2
More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life,The Difficult Transition from Military to Civilian Life,for,https://www.pewsocialtrends.org/2011/12/08/the-difficult-transition-from-military-to-civilian-life/,https://www.pewsocialtrends.org/,1,4,4,0,2
More than one in five of veterans aged 20 to 24 cant find a job to support their family or to ease the transition to civilian life,We aren’t doing enough to help veterans transition to civilian life,for,https://www.washingtonpost.com/opinions/we-arent-doing-enough-to-help-veterans-transition-to-civilian-life/2014/04/02/d43189e2-b52a-11e3-b899-20667de76985_story.html,https://www.washingtonpost.com/,1,5,5,0.3696875,1
Health insurance premiums have almost doubled  since 2000,"Health Care Costs For Workers Almost Doubled Since 2002, New Survey Finds",for,https://www.huffpost.com/entry/health-care-costs-at-work_n_1872027,https://www.huffpost.com/,2,6,6,0.2090625,0
Health insurance premiums have almost doubled  since 2000,How has U.S. spending on healthcare changed over time?,for,https://www.healthsystemtracker.org/chart-collection/u-s-spending-healthcare-changed-time/,https://www.healthsystemtracker.org/,2,7,7,-0.25,2
Health insurance premiums have almost doubled  since 2000,Workers With Health Insurance Face Rising Out-of-Pocket Costs,for,https://www.nytimes.com/2020/10/08/health/health-insurance-premiums-deductibles.html,https://www.nytimes.com/,2,8,8,0.4646875,1
Health insurance premiums have almost doubled  since 2000,Americans now spend twice as much on health care as they did in the 1980s,for,https://www.cnbc.com/2019/10/09/americans-spend-twice-as-much-on-health-care-today-as-in-the-1980s.html,https://www.cnbc.com/,2,9,9,0.469375,0
Health insurance premiums have almost doubled  since 2000,Health Insurance Premiums Up 131% in Last Ten Years,for,https://business.time.com/2009/09/16/health-insurance-premiums-up-131-in-last-ten-years/,https://business.time.com/,2,10,10,0.3771875,1
FACT Nothing in Obamacare forces people out of their health plans,Obama’s pledge that ‘no one will take away’ your health plan,against,https://www.washingtonpost.com/news/fact-checker/wp/2013/10/30/obamas-pledge-that-no-one-will-take-away-your-health-plan/,https://www.washingtonpost.com/,3,11,11,0.3696875,1
FACT Nothing in Obamacare forces people out of their health plans,FACT CHECK: Biden Claims Not One Person Lost Their Insurance Provider Under Obamacare,against,https://trendingpolitics.com/fact-check-biden-claims-not-one-person-lost-their-insurance-provider-under-obamacare/ ,https://trendingpolitics.com/,3,12,12,-0.25,2
FACT Nothing in Obamacare forces people out of their health plans,"Valerie Jarrett: Obamacare Doesn’t Force You Off Your Plan; Your Insurance Company Does, By Complying With Obamacare!",against,https://hotair.com/archives/marykatharine/2013/10/28/valerie-jarrett-obamacare-doesnt-force-you-off-your-plan-your-insurance-company-does-by-complying-with-obamacare/,https://hotair.com/,3,13,13,-0.25,3
FACT Nothing in Obamacare forces people out of their health plans,Jarrett: ‘Nothing In Obamacare Forces People Out Of Their Health Plans’,against,https://washington.cbslocal.com/2013/10/29/jarrett-nothing-in-obamacare-forces-people-out-of-their-health-plans/,https://washington.cbslocal.com/,3,14,14,0.62,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
